,robot_yaw,desire_yaw
0,-0.24672599136829376,-0.08441516621542111
1,-0.23906171321868896,0.07400579146239653
2,-0.20047371089458466,0.22458503011306655
3,-0.11518263816833496,0.366852176772949
4,0.004020598717033863,0.5005199723008136
5,0.13470210134983063,0.6254599181568989
6,0.2696540355682373,0.7416787079986151
7,0.3981327414512634,0.8492959404645752
8,0.4707582890987396,0.9485234553092027
9,0.5992129445075989,1.0396465067179026
10,0.7253174185752869,1.1230068832912716
11,0.8505630493164062,1.1989880015013785
12,0.9689127802848816,1.2680019358390735
13,1.0818564891815186,1.3304783017824788
14,1.1937469244003296,1.3868548745862868
15,1.298270344734192,1.4375698053336141
16,1.3943687677383423,1.483055283524768
17,1.4806269407272339,1.5237324907506151
18,1.5631674528121948,1.5600076910062657
19,1.615807294845581,1.592269308479627
20,1.6103572845458984,1.6208858519667793
21,1.6078472137451172,1.646204555404547
22,1.6107313632965088,1.6685506155471324
23,1.6129118204116821,1.6882269198973867
24,1.6138607263565063,1.70551417013309
25,1.6145309209823608,1.7206713180707538
26,1.6148731708526611,1.7339362424170213
27,1.6150360107421875,1.745526604991358
28,1.6151018142700195,1.7556408346546164
29,1.615114450454712,1.7644591957929676
30,1.6204423904418945,1.7721449058749619
31,1.6373090744018555,1.7788452733421354
32,1.6613597869873047,1.7846928329542335
33,1.6626160144805908,1.789806460747557
34,1.6628284454345703,1.7942924550472106
35,1.6673616170883179,1.7982455735738296
36,1.6821359395980835,1.8017500196764549
37,1.706140160560608,1.8048803731779237
38,1.7143194675445557,1.8077024633063838
39,1.7155958414077759,1.8102741827706978
40,1.7154229879379272,1.8126462432776649
41,1.7151015996932983,1.8148628737385226
42,1.7146440744400024,1.816962463118748
43,1.7142843008041382,1.8189781503907436
44,1.7142038345336914,1.8209383643902082
45,1.7141084671020508,1.8228673165854845
46,1.7140194177627563,1.8247854498720113
47,1.7200138568878174,1.826709846524091
48,1.7432711124420166,1.8286545983927855
49,1.7482322454452515,1.8306311423478416
50,1.7481372356414795,1.8326485638363195
51,1.7482497692108154,1.8347138712817765
52,1.748403549194336,1.836832243884078
53,1.7484052181243896,1.839007255208048
54,1.748447060585022,1.8412410747746062
55,1.7484781742095947,1.8435346496948894
56,1.7689365148544312,1.8458878682192459
57,1.780530333518982,1.8482997069111455
58,1.7798478603363037,1.8507683630025782
59,1.780167579650879,1.8532913733433976
60,1.7804399728775024,1.8558657212229177
61,1.7807376384735107,1.8584879322181038
62,1.781186819076538,1.8611541601089034
63,1.7815805673599243,1.8638602637973998
64,1.7820217609405518,1.8666018760731657
65,1.7826439142227173,1.8693744649819821
66,1.7829599380493164,1.8721733884783953
